lon,lat,ts_seconds,concentration,source,license,notes
37.7279,45.1349,4523682,0.0000,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.9194,40.9860,149532430,0.2577,synthetic-blacksea-mix,CC0-1.0,Trabzon
27.7074,42.4494,128783001,0.0485,synthetic-blacksea-mix,CC0-1.0,Burgas
39.1900,41.0987,76257942,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
39.6501,43.4313,141272498,0.3940,synthetic-blacksea-mix,CC0-1.0,Sochi
37.4834,45.0986,142137652,0.2810,synthetic-blacksea-mix,CC0-1.0,Anapa
37.3943,45.1098,73937439,0.1695,synthetic-blacksea-mix,CC0-1.0,Anapa
28.0431,44.1916,25201000,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
39.9666,43.7055,5369047,0.0662,synthetic-blacksea-mix,CC0-1.0,Sochi
37.5545,44.8022,20057355,0.3872,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
37.4996,44.8690,4248437,0.0000,synthetic-blacksea-mix,CC0-1.0,Anapa
37.9313,44.6933,46196308,0.4639,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
39.2479,43.7566,49698015,0.1041,synthetic-blacksea-mix,CC0-1.0,offshore
40.1600,40.6846,68748717,0.0651,synthetic-blacksea-mix,CC0-1.0,offshore
28.5441,43.8327,63708646,0.0757,synthetic-blacksea-mix,CC0-1.0,Constanta
27.2362,42.5743,98728203,0.0052,synthetic-blacksea-mix,CC0-1.0,Burgas
39.8362,43.6416,119715095,0.4078,synthetic-blacksea-mix,CC0-1.0,Sochi
40.1172,44.0939,36528657,0.0000,synthetic-blacksea-mix,CC0-1.0,offshore
37.0709,44.8359,51214566,0.3716,synthetic-blacksea-mix,CC0-1.0,Anapa
36.8850,45.0492,151907774,0.1410,synthetic-blacksea-mix,CC0-1.0,Anapa
29.1128,44.3630,107754528,0.0765,synthetic-blacksea-mix,CC0-1.0,offshore
39.5005,43.4824,113314243,0.3002,synthetic-blacksea-mix,CC0-1.0,Sochi
28.7381,44.0753,39289227,0.1147,synthetic-blacksea-mix,CC0-1.0,Constanta
37.9692,44.9947,115845855,0.1688,synthetic-blacksea-mix,CC0-1.0,Novorossiysk
27.5975,42.6399,106173248,0.2204,synthetic-blacksea-mix,CC0-1.0,Burgas
